1,Coding Foundations,"Python Install, VS Code Setup, and Hello World",⬜ To-Do
2,Coding Foundations,"Variables: Strings, Integers, Floats, and Booleans",⬜ To-Do
3,Coding Foundations,Input/Output: Building Interactive CLI Programs,⬜ To-Do
4,Coding Foundations,"Operators: Arithmetic, Comparison, and Assignment",⬜ To-Do
5,Coding Foundations,"Logical Operators: AND, OR, NOT in Conditions",⬜ To-Do
6,Coding Foundations,"Lists: Indexing, Slicing, and Core Methods",⬜ To-Do
7,Coding Foundations,Dictionaries: Key-Value Pairs and Nested Data,⬜ To-Do
8,Coding Foundations,"Tuples, Sets, and When to Use Each",⬜ To-Do
9,Coding Foundations,"If-Else, Elif: Conditional Logic Flow",⬜ To-Do
10,Coding Foundations,For Loops: Iterating over Lists and Ranges,⬜ To-Do
11,Coding Foundations,"While Loops: Break, Continue, and Loop Patterns",⬜ To-Do
12,Coding Foundations,Practice Day: 5 Loop and Condition Coding Challenges,⬜ To-Do
13,Coding Foundations,"Functions: Defining, Calling, and Return Values",⬜ To-Do
14,Coding Foundations,"Arguments: *args, **kwargs, and Default Parameters",⬜ To-Do
15,Coding Foundations,Scope: Global vs. Local Variables and Closures,⬜ To-Do
16,Coding Foundations,DSA: Arrays and Two-Pointer Technique (LeetCode Easy),⬜ To-Do
17,Coding Foundations,"OOP: Classes, Objects, and the self Keyword",⬜ To-Do
18,Coding Foundations,OOP: The __init__ Constructor and Instance Methods,⬜ To-Do
19,Coding Foundations,"OOP: Inheritance, Polymorphism, and super()",⬜ To-Do
20,Coding Foundations,OOP: Encapsulation and Property Decorators,⬜ To-Do
21,Coding Foundations,DSA: Hash Maps and Frequency Counting (LeetCode Easy),⬜ To-Do
22,Coding Foundations,File Handling: Reading and Writing Text and CSV Files,⬜ To-Do
23,Coding Foundations,"Error Handling: Try, Except, Finally, and Custom Errors",⬜ To-Do
24,Coding Foundations,List Comprehensions: One-Line Loops and Filtering,⬜ To-Do
25,Coding Foundations,Lambda Functions and Map/Filter/Reduce,⬜ To-Do
26,Coding Foundations,Decorators: Wrapping Functions with Reusable Logic,⬜ To-Do
27,Coding Foundations,Generators: Yielding Data for Memory Efficiency,⬜ To-Do
28,Coding Foundations,DSA: Stacks and Queues with Python Lists and Deque,⬜ To-Do
29,Coding Foundations,"String Methods: Parsing, Formatting, and Regex Basics",⬜ To-Do
30,Coding Foundations,Modules and Packages: Organizing Your Python Projects,⬜ To-Do
31,Coding Foundations,"Virtual Environments: venv, pip freeze, requirements.txt",⬜ To-Do
32,Coding Foundations,"DSA: Sorting Algorithms — Bubble, Merge, Quick Sort",⬜ To-Do
33,Coding Foundations,DSA: Binary Search on Sorted Arrays (LeetCode Easy),⬜ To-Do
34,Coding Foundations,DSA: Linked Lists Basics and Python Implementation,⬜ To-Do
35,Coding Foundations,DSA: Recursion Fundamentals and Base Cases,⬜ To-Do
36,Coding Foundations,"Debugging: Using print, breakpoints, and VS Code Debugger",⬜ To-Do
37,Coding Foundations,"Clean Code: PEP 8, Naming Conventions, and Docstrings",⬜ To-Do
38,Coding Foundations,"Git Basics: Init, Add, Commit, Status, and .gitignore",⬜ To-Do
39,Coding Foundations,"GitHub: Creating Repos, Pushing Code, and README Writing",⬜ To-Do
40,Coding Foundations,Coding Foundations Capstone: Build a CLI Task Manager,⬜ To-Do
41,Data Handling & SQL,NumPy: Creating 1D and 2D Arrays,⬜ To-Do
42,Data Handling & SQL,"NumPy: Indexing, Slicing, and Fancy Indexing",⬜ To-Do
43,Data Handling & SQL,NumPy: Mathematical and Statistical Operations,⬜ To-Do
44,Data Handling & SQL,"NumPy: Reshaping, Broadcasting, and Vectorization",⬜ To-Do
45,Data Handling & SQL,NumPy: Random Module and Synthetic Data Generation,⬜ To-Do
46,Data Handling & SQL,SQL: Installing PostgreSQL/MySQL and First Queries,⬜ To-Do
47,Data Handling & SQL,"SQL: CREATE TABLE, Data Types, and Constraints",⬜ To-Do
48,Data Handling & SQL,"SQL: INSERT, UPDATE, DELETE — CRUD Operations",⬜ To-Do
49,Data Handling & SQL,"SQL: SELECT, WHERE, DISTINCT, and ALIASES",⬜ To-Do
50,Data Handling & SQL,"SQL: IN, BETWEEN, LIKE, and Pattern Matching",⬜ To-Do
51,Data Handling & SQL,SQL: INNER JOIN — Connecting Related Tables,⬜ To-Do
52,Data Handling & SQL,"SQL: LEFT JOIN, RIGHT JOIN, and FULL OUTER JOIN",⬜ To-Do
53,Data Handling & SQL,"SQL: Self-Joins, Cross-Joins, and Multi-Table Queries",⬜ To-Do
54,Data Handling & SQL,"SQL: Aggregates — COUNT, SUM, AVG, MIN, MAX",⬜ To-Do
55,Data Handling & SQL,SQL: GROUP BY and HAVING for Segmented Analysis,⬜ To-Do
56,Data Handling & SQL,"SQL: Subqueries — Scalar, Row, and Table Subqueries",⬜ To-Do
57,Data Handling & SQL,"SQL: Window Functions — ROW_NUMBER, RANK, DENSE_RANK",⬜ To-Do
58,Data Handling & SQL,"SQL: LEAD, LAG, and Running Totals with Windows",⬜ To-Do
59,Data Handling & SQL,"SQL: CASE WHEN, COALESCE, and NULL Handling",⬜ To-Do
60,Data Handling & SQL,SQL Interview Practice: 10 Real SQL Challenges,⬜ To-Do
61,Data Handling & SQL,"Pandas: Loading CSV, Excel, and JSON Files",⬜ To-Do
62,Data Handling & SQL,"Pandas: Head, Tail, Info, Describe — Data Audit",⬜ To-Do
63,Data Handling & SQL,Pandas: Selection with .loc and .iloc,⬜ To-Do
64,Data Handling & SQL,Pandas: Filtering DataFrames with Boolean Logic,⬜ To-Do
65,Data Handling & SQL,"Pandas: Adding, Renaming, and Dropping Columns",⬜ To-Do
66,Data Handling & SQL,"Pandas: Handling Missing Data — fillna, dropna, Imputation",⬜ To-Do
67,Data Handling & SQL,Pandas: Handling Duplicates and Data Type Conversion,⬜ To-Do
68,Data Handling & SQL,Pandas: String Methods and Datetime Parsing,⬜ To-Do
69,Data Handling & SQL,"Pandas: GroupBy, Aggregation, and Multi-Indexing",⬜ To-Do
70,Data Handling & SQL,"Pandas: Pivot Tables, Melt, and Reshaping Data",⬜ To-Do
71,Data Handling & SQL,Pandas: Merging and Joining DataFrames (SQL-style),⬜ To-Do
72,Data Handling & SQL,"Pandas: Apply, Lambda, and Custom Transformations",⬜ To-Do
73,Data Handling & SQL,EDA Project: Business Case Dataset Analysis (E-commerce),⬜ To-Do
74,Data Handling & SQL,EDA Project: Customer Behavior Insights with Plots,⬜ To-Do
75,Data Handling & SQL,"Matplotlib and Seaborn: Charts, Heatmaps, and Styling",⬜ To-Do
76,Data Handling & SQL,Pandas: Time Series Basics and Resampling,⬜ To-Do
77,Data Handling & SQL,EDA Mini-Project: HR Attrition Dataset Deep Dive,⬜ To-Do
78,Data Handling & SQL,EDA Mini-Project: Write Insights Report from Real Data,⬜ To-Do
79,Data Handling & SQL,Data Handling Capstone: Clean and Analyze a 10K-Row Dataset,⬜ To-Do
80,Data Handling & SQL,Data Handling Review: SQL + Pandas Interview Q&A Day,⬜ To-Do
81,Machine Learning Core,"Stats: Mean, Median, Mode, and Measures of Central Tendency",⬜ To-Do
82,Machine Learning Core,"Stats: Variance, Standard Deviation, and Data Spread",⬜ To-Do
83,Machine Learning Core,Stats: Normal Distribution and Z-Scores,⬜ To-Do
84,Machine Learning Core,"Stats: Correlation, Covariance, and Scatter Plots",⬜ To-Do
85,Machine Learning Core,Stats: Probability Basics and Bayes Theorem Intuition,⬜ To-Do
86,Machine Learning Core,Stats: Hypothesis Testing and p-Values,⬜ To-Do
87,Machine Learning Core,"Math: Vectors, Matrices, and Linear Algebra Essentials",⬜ To-Do
88,Machine Learning Core,Math: Gradient Descent — The Optimization Engine,⬜ To-Do
89,Machine Learning Core,"Math: Cost Functions, Convexity, and Learning Rate",⬜ To-Do
90,Machine Learning Core,ML: What is Machine Learning? Types and Workflow,⬜ To-Do
91,Machine Learning Core,ML: Train-Test Split and the Danger of Data Leakage,⬜ To-Do
92,Machine Learning Core,ML: Feature Scaling — StandardScaler vs MinMaxScaler,⬜ To-Do
93,Machine Learning Core,ML: Encoding Categorical Variables — Label vs OneHot,⬜ To-Do
